"CODICE_VIA";"NUMEROCOMPLETO";"STATOCIVICO";"GAUSSB_X";"GAUSSB_Y";"WGS84_X";"WGS84_Y";"WEBMERCATOR_X";"WEBMERCATOR_Y";"LAT_WGS84";"LONG_WGS84";"DATA_MODFINE";"IDMASTER";"LIVELLO"
136;"";8;1514696,9315;5035539,382;514696,2471;5035444,9622;1022805,2315;5696196,8162;45,4724;9,188000000000001;0;182768;0
137;"";8;1514678,797;5034874,3129;514678,1135;5034779,9147;1022777,1938;5695246,6586;45,4664;9,187799999999999;0;186360;0
138;"";8;1514507,2212;5035519,6899;514506,5457;5035425,2708;1022535,0029;5696169,3098;45,472200000000001;9,185600000000001;0;182769;0
139;"";8;1514922,9902;5035412,0254;514922,2953;5035317,6098;1023126,7278;5696014,0863;45,471200000000003;9,190899999999999;0;182770;0
140;"";8;1514992,1704;5035578,5041;514991,4723;5035484,083;1023225,8102;5696251,7183;45,472700000000003;9,191800000000001;0;182771;0
141;"";8;1515039,733;5035349,7345;515039,0327;5035255,3209;1023292,7639;5695924,6879;45,470700000000001;9,192399999999999;0;185937;0
142;"";8;1515099,6627;5035377,048;515098,9596;5035282,6335;1023378,1999;5695963,5077;45,4709;9,193199999999999;0;185938;0
143;"";8;1514546,8289;5035566,9549;514546,1515;5035472,5342;1022591,5633;5696236,7124;45,4726;9,1861;0;182772;0
144;"";8;1514945,2054;5035617,0715;514944,5095;5035522,6492;1023159,0582;5696306,9848;45,473100000000002;9,1912;0;182773;0
145;"";8;1515052,6207;5035290,0913;515051,9198;5035195,6796;1023310,9131;5695839,427;45,470100000000002;9,192600000000001;0;182774;0
146;"";8;1514874,7314;5035282,1742;514874,0388;5035187,7628;1023057,5668;5695828,7207;45,470100000000002;9,190300000000001;0;182775;0
147;"";8;1515025,7535;5035427,2647;515025,0539;5035332,8485;1023273,1206;5696035,5101;45,471400000000003;9,1922;0;182776;0
148;"";8;1514991,6523;5035222,4914;514990,9542;5035128,0819;1023223,8625;5695743,0511;45,469499999999996;9,191800000000001;0;182777;0
149;"";8;1514763,361;5035112,1397;514762,6736;5035017,7338;1022898,4033;5695586,1594;45,468499999999999;9,1889;0;185939;0
150;"";8;1514726,4302;5035004,983;514725,7445;5034910,5806;1022845,4565;5695433,1866;45,467599999999997;9,1884;0;182778;0
151;"";8;1514808,9612;5034965,0227;514808,2716;5034870,6216;1022962,8436;5695375,8181;45,467199999999998;9,189399999999999;0;186361;0
152;"";8;1514671,3911;5035106,616;514670,7079;5035012,2103;1022767,4206;5695578,5753;45,468499999999999;9,1877;0;182779;0
190;"";8;1515052,2;5034877,7467;515051,4991;5034783,3484;1023308,9073;5695250,3023;45,4664;9,192500000000001;0;182780;0
191;"";8;1514967,8462;5034830,3463;514967,1492;5034735,9496;1023188,6321;5695182,8707;45,466000000000001;9,1915;0;185034;0
197;"";8;1514947,6393;5034923,6923;514946,9433;5034829,2925;1023160,1752;5695316,3005;45,466799999999999;9,1912;0;185940;0
198;"";8;1515025,6468;5034744,5991;515024,9472;5034650,2052;1023270,644;5695060,1704;45,465200000000003;9,1922;0;185035;0
199;"";8;1515202,1183;5035262,5522;515201,4104;5035168,1414;1023523,7071;5695799,5658;45,469900000000003;9,1945;0;185036;0
200;"";8;1514985,2304;5035073,687;514984,5326;5034979,2824;1023214,2123;5695530,4707;45,468200000000003;9,191700000000001;0;185941;0
201;"";8;1514854,0127;5034938,2319;514853,321;5034843,8317;1023026,9048;5695337,3903;45,466999999999999;9,19;0;182781;0
202;"";8;1514909,0726;5034942,57;514908,3784;5034848,1696;1023105,3221;5695343,4018;45,466999999999999;9,1907;0;182782;0
203;"";8;1514936,6389;5034872,7644;514935,9434;5034778,3663;1023144,3389;5695243,5782;45,4664;9,191100000000001;0;182783;0
204;"";8;1514929,2705;5034834,1601;514928,5753;5034739,7632;1023133,716;5695188,4503;45,466000000000001;9,191000000000001;0;182784;0
205;"";8;1514913,0407;5034751,6374;514912,3463;5034657,2432;1023110,3272;5695070,6088;45,465299999999999;9,190799999999999;0;182785;0
206;"";8;1514931,7337;5034787,958;514931,0384;5034693,5626;1023137,0671;5695122,4348;45,465600000000002;9,191000000000001;0;182786;0
207;"";8;1514959,2129;5034738,1434;514958,5164;5034643,7497;1023176,0265;5695051,1739;45,465200000000003;9,1913;0;185942;0
208;"";8;1515016,9115;5034736,5764;515016,2123;5034642,1827;1023258,1784;5695048,7386;45,4651;9,1921;0;185943;0
209;"";8;1515046,2275;5034787,1798;515045,5269;5034692,7845;1023300,0941;5695120,933;45,465600000000002;9,192500000000001;0;182787;0
210;"";8;1515030,5292;5034943,1994;515029,8293;5034848,799;1023278,2724;5695343,8877;45,466999999999999;9,1923;0;182788;0
211;"";8;1515109,7728;5034935,7018;515109,0693;5034841,3016;1023391,0858;5695332,9043;45,466900000000003;9,193300000000001;0;182789;0
212;"";8;1515114,9506;5034832,7549;515114,2468;5034738,3581;1023398,106;5695185,8087;45,466000000000001;9,193300000000001;0;182790;0
213;"";8;1515355,5485;5034802,4654;515354,8335;5034708,0696;1023740,5941;5695141,7019;45,465699999999998;9,196400000000001;0;182791;0
214;"";8;1515228,3231;5034701,0274;515227,614;5034606,6349;1023559,0854;5694997,225;45,464799999999997;9,194800000000001;0;185944;0
215;"";8;1515357,265;5034822,2944;515356,5499;5034727,898;1023743,1072;5695170,0248;45,465899999999998;9,196400000000001;0;182792;0
216;"";8;1515431,5863;5034875,8944;515430,8677;5034781,4962;1023849,1224;5695246,3413;45,4664;9,1974;0;182793;0
217;"";8;1515086,3439;5034844,4105;515085,6414;5034750,0133;1023357,412;5695202,5588;45,466099999999997;9,193;0;182794;0
